std Years = 1981-2010
DOY,   Average Extent,   Std Deviation,      10th,      25th,      50th,      75th,      90th
041,           15.231,           0.460,    14.434,    15.019,    15.261,    15.567,    15.792
042,           15.239,           0.447,    14.468,    15.071,    15.301,    15.522,    15.799
043,           15.249,           0.436,    14.511,    15.082,    15.303,    15.514,    15.805
044,           15.267,           0.429,    14.563,    15.038,    15.317,    15.494,    15.791
045,           15.282,           0.426,    14.641,    15.052,    15.364,    15.507,    15.737
046,           15.303,           0.422,    14.680,    15.069,    15.382,    15.548,    15.788
047,           15.320,           0.438,    14.695,    15.043,    15.385,    15.573,    15.848
048,           15.362,           0.439,    14.797,    15.067,    15.420,    15.605,    15.905
049,           15.377,           0.457,    14.823,    15.102,    15.420,    15.624,    15.960
050,           15.388,           0.469,    14.757,    15.166,    15.472,    15.649,    15.947
051,           15.417,           0.475,    14.739,    15.178,    15.475,    15.724,    15.931
052,           15.437,           0.481,    14.722,    15.212,    15.483,    15.721,    15.956
053,           15.451,           0.479,    14.787,    15.218,    15.467,    15.724,    15.981
054,           15.465,           0.480,    14.801,    15.229,    15.466,    15.700,    16.027
055,           15.478,           0.480,    14.804,    15.346,    15.498,    15.738,    16.030
056,           15.475,           0.481,    14.795,    15.272,    15.496,    15.681,    16.090
057,           15.486,           0.483,    14.764,    15.237,    15.527,    15.664,    16.056
058,           15.511,           0.468,    14.812,    15.312,    15.542,    15.719,    16.046
059,           15.519,           0.451,    14.907,    15.275,    15.548,    15.749,    16.116
060,           15.502,           0.435,    14.910,    15.223,    15.556,    15.778,    16.064
061,           15.514,           0.426,    15.010,    15.240,    15.558,    15.760,    16.050
062,           15.497,           0.433,    15.017,    15.224,    15.478,    15.738,    16.026
063,           15.496,           0.431,    15.032,    15.232,    15.478,    15.741,    16.029
064,           15.492,           0.422,    14.993,    15.257,    15.449,    15.710,    16.031
065,           15.497,           0.413,    15.026,    15.246,    15.439,    15.759,    16.004
066,           15.486,           0.418,    15.059,    15.251,    15.444,    15.735,    16.038
067,           15.494,           0.418,    14.953,    15.276,    15.532,    15.721,    16.086
068,           15.500,           0.408,    14.982,    15.289,    15.483,    15.707,    16.121
069,           15.502,           0.408,    14.886,    15.283,    15.487,    15.743,    16.116
070,           15.516,           0.419,    14.944,    15.280,    15.489,    15.740,    16.150
071,           15.499,           0.447,    14.979,    15.228,    15.474,    15.749,    16.151
072,           15.507,           0.465,    14.892,    15.221,    15.538,    15.815,    16.091
073,           15.497,           0.482,    14.845,    15.236,    15.511,    15.855,    16.045
074,           15.467,           0.481,    14.872,    15.176,    15.499,    15.845,    16.023
075,           15.458,           0.468,    14.888,    15.189,    15.496,    15.819,    15.986
076,           15.444,           0.450,    14.922,    15.143,    15.483,    15.835,    15.962
077,           15.423,           0.434,    14.936,    15.159,    15.487,    15.773,    15.924
078,           15.405,           0.447,    14.904,    15.134,    15.494,    15.695,    15.877
079,           15.397,           0.455,    14.894,    15.127,    15.454,    15.677,    15.844
080,           15.393,           0.448,    14.903,    15.138,    15.451,    15.721,    15.825
081,           15.373,           0.438,    14.908,    15.087,    15.402,    15.723,    15.792
082,           15.370,           0.461,    14.803,    15.110,    15.472,    15.728,    15.865
083,           15.362,           0.458,    14.786,    15.168,    15.489,    15.711,    15.794
084,           15.349,           0.451,    14.837,    15.125,    15.473,    15.625,    15.761
085,           15.342,           0.446,    14.847,    15.119,    15.453,    15.621,    15.769
086,           15.325,           0.438,    14.872,    15.138,    15.387,    15.576,    15.766
087,           15.308,           0.443,    14.857,    15.092,    15.374,    15.555,    15.791
088,           15.312,           0.442,    14.798,    15.075,    15.389,    15.587,    15.812
089,           15.298,           0.441,    14.765,    15.051,    15.391,    15.605,    15.766
090,           15.281,           0.441,    14.728,    15.068,    15.397,    15.544,    15.715
091,           15.240,           0.432,    14.697,    15.087,    15.313,    15.513,    15.668
092,           15.192,           0.435,    14.679,    14.990,    15.270,    15.478,    15.627
093,           15.163,           0.445,    14.666,    14.932,    15.197,    15.465,    15.583
094,           15.130,           0.442,    14.607,    14.920,    15.128,    15.455,    15.579
095,           15.100,           0.427,    14.523,    14.822,    15.111,    15.415,    15.560
096,           15.078,           0.429,    14.465,    14.795,    15.097,    15.377,    15.535
097,           15.036,           0.435,    14.398,    14.763,    15.090,    15.370,    15.516
098,           14.995,           0.428,    14.370,    14.783,    15.064,    15.292,    15.537
099,           14.953,           0.444,    14.337,    14.713,    15.002,    15.282,    15.494
100,           14.920,           0.451,    14.334,    14.664,    14.890,    15.255,    15.495
101,           14.884,           0.462,    14.314,    14.620,    14.859,    15.260,    15.485
102,           14.830,           0.464,    14.197,    14.598,    14.749,    15.245,    15.412
103,           14.794,           0.472,    14.123,    14.540,    14.711,    15.180,    15.391
104,           14.748,           0.480,    14.119,    14.468,    14.701,    15.105,    15.307
105,           14.720,           0.473,    14.029,    14.484,    14.658,    15.094,    15.276
106,           14.684,           0.480,    14.008,    14.379,    14.649,    15.072,    15.208
107,           14.646,           0.479,    14.013,    14.326,    14.617,    15.048,    15.184
108,           14.596,           0.482,    13.994,    14.281,    14.602,    14.962,    15.124
109,           14.547,           0.464,    13.967,    14.199,    14.561,    14.928,    15.048
110,           14.531,           0.441,    13.991,    14.228,    14.550,    14.856,    15.071
111,           14.505,           0.447,    13.949,    14.195,    14.523,    14.848,    15.040
112,           14.465,           0.435,    13.946,    14.153,    14.503,    14.775,    14.918
113,           14.427,           0.430,    13.874,    14.098,    14.477,    14.709,    14.918
114,           14.384,           0.437,    13.879,    14.065,    14.443,    14.698,    14.840
115,           14.341,           0.428,    13.783,    14.057,    14.425,    14.666,    14.762
116,           14.290,           0.436,    13.740,    13.956,    14.345,    14.638,    14.720
117,           14.244,           0.435,    13.664,    13.936,    14.298,    14.575,    14.648
118,           14.205,           0.443,    13.616,    13.858,    14.256,    14.534,    14.632
119,           14.160,           0.437,    13.568,    13.811,    14.187,    14.473,    14.595
120,           14.093,           0.425,    13.556,    13.765,    14.109,    14.356,    14.555
121,           13.973,           0.439,    13.366,    13.619,    14.036,    14.274,    14.434
122,           13.901,           0.438,    13.337,    13.548,    13.922,    14.196,    14.325
123,           13.861,           0.437,    13.361,    13.544,    13.874,    14.175,    14.320
124,           13.824,           0.435,    13.310,    13.521,    13.862,    14.131,    14.298
125,           13.772,           0.433,    13.248,    13.466,    13.786,    14.102,    14.250
126,           13.734,           0.420,    13.240,    13.450,    13.778,    14.059,    14.160
127,           13.684,           0.411,    13.204,    13.422,    13.691,    14.023,    14.115
128,           13.647,           0.406,    13.196,    13.342,    13.663,    13.982,    14.098
129,           13.598,           0.414,    13.155,    13.332,    13.594,    13.951,    14.087
130,           13.560,           0.414,    13.123,    13.247,    13.534,    13.926,    14.082
131,           13.514,           0.422,    13.045,    13.218,    13.457,    13.887,    14.074
132,           13.476,           0.414,    13.071,    13.177,    13.412,    13.828,    14.011
133,           13.434,           0.413,    13.039,    13.111,    13.350,    13.760,    13.913
134,           13.399,           0.410,    12.991,    13.084,    13.312,    13.750,    13.882
135,           13.352,           0.406,    12.944,    13.057,    13.286,    13.684,    13.818
136,           13.292,           0.404,    12.852,    13.025,    13.227,    13.595,    13.754
137,           13.249,           0.399,    12.775,    12.993,    13.186,    13.529,    13.739
138,           13.199,           0.393,    12.685,    12.952,    13.150,    13.453,    13.728
139,           13.166,           0.377,    12.716,    12.890,    13.144,    13.442,    13.667
140,           13.120,           0.374,    12.737,    12.865,    13.075,    13.386,    13.602
141,           13.061,           0.382,    12.628,    12.770,    13.059,    13.310,    13.507
142,           13.011,           0.380,    12.548,    12.709,    13.024,    13.290,    13.417
143,           12.971,           0.387,    12.483,    12.697,    12.953,    13.271,    13.417
144,           12.931,           0.387,    12.426,    12.674,    12.953,    13.188,    13.418
145,           12.899,           0.392,    12.343,    12.600,    12.911,    13.151,    13.382
146,           12.858,           0.407,    12.320,    12.524,    12.860,    13.121,    13.362
147,           12.824,           0.407,    12.324,    12.518,    12.818,    13.101,    13.338
148,           12.789,           0.401,    12.297,    12.484,    12.791,    13.078,    13.308
149,           12.747,           0.394,    12.286,    12.429,    12.767,    13.048,    13.276
150,           12.698,           0.390,    12.224,    12.383,    12.733,    12.982,    13.236
151,           12.644,           0.380,    12.170,    12.297,    12.649,    12.967,    13.142
152,           12.529,           0.389,    12.028,    12.228,    12.556,    12.817,    13.044
153,           12.455,           0.392,    11.958,    12.155,    12.462,    12.741,    13.001
154,           12.405,           0.400,    11.906,    12.111,    12.435,    12.728,    12.940
155,           12.357,           0.401,    11.854,    12.085,    12.394,    12.690,    12.866
156,           12.316,           0.400,    11.805,    11.988,    12.339,    12.643,    12.791
157,           12.263,           0.413,    11.747,    11.914,    12.279,    12.597,    12.762
158,           12.219,           0.406,    11.728,    11.884,    12.235,    12.548,    12.732
159,           12.174,           0.413,    11.662,    11.861,    12.222,    12.478,    12.703
160,           12.130,           0.417,    11.622,    11.829,    12.216,    12.414,    12.675
161,           12.087,           0.417,    11.568,    11.786,    12.156,    12.352,    12.584
162,           12.041,           0.424,    11.495,    11.748,    12.088,    12.342,    12.494
163,           12.013,           0.424,    11.533,    11.705,    12.067,    12.311,    12.470
164,           11.956,           0.423,    11.467,    11.696,    11.999,    12.286,    12.428
165,           11.900,           0.436,    11.406,    11.570,    11.976,    12.245,    12.355
166,           11.853,           0.448,    11.353,    11.536,    11.890,    12.207,    12.350
167,           11.797,           0.459,    11.260,    11.521,    11.815,    12.158,    12.324
168,           11.740,           0.466,    11.184,    11.426,    11.714,    12.114,    12.253
169,           11.681,           0.491,    11.130,    11.344,    11.662,    12.050,    12.247
170,           11.617,           0.492,    11.064,    11.326,    11.590,    12.005,    12.183
171,           11.558,           0.513,    10.963,    11.277,    11.543,    11.974,    12.166
172,           11.495,           0.529,    10.908,    11.161,    11.471,    11.967,    12.136
173,           11.439,           0.547,    10.850,    11.057,    11.398,    11.904,    12.069
174,           11.394,           0.559,    10.788,    10.958,    11.376,    11.870,    12.034
175,           11.317,           0.581,    10.694,    10.878,    11.342,    11.832,    11.968
176,           11.256,           0.594,    10.614,    10.853,    11.283,    11.794,    11.924
177,           11.200,           0.613,    10.542,    10.767,    11.197,    11.757,    11.903
178,           11.133,           0.625,    10.396,    10.762,    11.134,    11.693,    11.872
179,           11.056,           0.650,    10.279,    10.659,    11.093,    11.649,    11.798
180,           10.986,           0.659,    10.223,    10.617,    11.010,    11.550,    11.763
181,           10.910,           0.639,    10.185,    10.571,    10.900,    11.472,    11.652
182,           10.739,           0.677,     9.937,    10.339,    10.830,    11.318,    11.569
183,           10.630,           0.671,     9.840,    10.317,    10.668,    11.239,    11.385
184,           10.570,           0.675,     9.785,    10.253,    10.617,    11.148,    11.345
185,           10.508,           0.688,     9.665,    10.169,    10.555,    11.145,    11.286
186,           10.428,           0.696,     9.600,    10.074,    10.477,    11.048,    11.244
187,           10.333,           0.716,     9.467,     9.928,    10.318,    10.976,    11.183
188,           10.254,           0.711,     9.363,     9.810,    10.216,    10.887,    11.104
189,           10.186,           0.714,     9.268,     9.738,    10.175,    10.834,    11.054
190,           10.117,           0.721,     9.149,     9.705,    10.106,    10.777,    10.991
191,           10.031,           0.723,     9.008,     9.566,    10.005,    10.680,    10.919
192,            9.948,           0.722,     8.972,     9.510,     9.889,    10.594,    10.817
193,            9.874,           0.724,     8.961,     9.413,     9.819,    10.529,    10.727
194,            9.776,           0.730,     8.787,     9.299,     9.708,    10.433,    10.664
195,            9.691,           0.724,     8.691,     9.253,     9.657,    10.264,    10.585
196,            9.591,           0.723,     8.571,     9.173,     9.526,    10.179,    10.501
197,            9.498,           0.729,     8.509,     9.060,     9.488,    10.130,    10.361
198,            9.414,           0.712,     8.431,     9.037,     9.374,    10.061,    10.269
199,            9.330,           0.715,     8.374,     8.962,     9.302,     9.947,    10.193
200,            9.231,           0.715,     8.247,     8.919,     9.214,     9.806,    10.079
201,            9.149,           0.707,     8.228,     8.797,     9.182,     9.668,    10.006
202,            9.055,           0.726,     8.015,     8.709,     9.064,     9.628,     9.903
203,            8.967,           0.726,     7.941,     8.653,     9.012,     9.568,     9.811
204,            8.873,           0.740,     7.854,     8.478,     8.939,     9.466,     9.718
205,            8.792,           0.738,     7.760,     8.413,     8.876,     9.395,     9.670
206,            8.698,           0.746,     7.725,     8.301,     8.808,     9.326,     9.621
207,            8.623,           0.746,     7.667,     8.217,     8.737,     9.247,     9.529
208,            8.545,           0.751,     7.507,     8.088,     8.654,     9.155,     9.419
209,            8.456,           0.743,     7.465,     7.956,     8.535,     9.096,     9.317
210,            8.368,           0.731,     7.374,     7.916,     8.448,     8.946,     9.193
211,            8.284,           0.730,     7.273,     7.876,     8.357,     8.884,     9.102
212,            8.202,           0.736,     7.160,     7.757,     8.306,     8.851,     9.017
213,            8.114,           0.743,     7.096,     7.613,     8.223,     8.755,     8.964
214,            8.026,           0.744,     7.031,     7.505,     8.138,     8.667,     8.892
215,            7.958,           0.732,     7.003,     7.463,     8.033,     8.570,     8.816
216,            7.902,           0.711,     7.012,     7.480,     8.007,     8.473,     8.711
217,            7.827,           0.723,     6.908,     7.340,     8.007,     8.381,     8.645
218,            7.759,           0.740,     6.763,     7.265,     7.943,     8.290,     8.556
219,            7.678,           0.749,     6.702,     7.149,     7.855,     8.236,     8.511
220,            7.619,           0.740,     6.648,     7.089,     7.787,     8.183,     8.406
221,            7.558,           0.751,     6.571,     6.984,     7.739,     8.116,     8.403
222,            7.484,           0.754,     6.487,     6.941,     7.682,     8.061,     8.287
223,            7.422,           0.748,     6.418,     6.899,     7.606,     7.994,     8.168
224,            7.374,           0.745,     6.372,     6.845,     7.543,     7.966,     8.139
225,            7.308,           0.743,     6.355,     6.792,     7.467,     7.921,     8.044
226,            7.256,           0.746,     6.220,     6.764,     7.439,     7.899,     8.023
227,            7.203,           0.737,     6.175,     6.736,     7.356,     7.851,     8.002
228,            7.154,           0.743,     6.126,     6.669,     7.303,     7.803,     7.931
229,            7.099,           0.755,     6.058,     6.656,     7.255,     7.749,     7.912
230,            7.061,           0.767,     5.987,     6.611,     7.208,     7.697,     7.861
231,            7.002,           0.771,     5.856,     6.602,     7.222,     7.618,     7.809
232,            6.950,           0.786,     5.801,     6.528,     7.169,     7.543,     7.788
233,            6.904,           0.781,     5.767,     6.510,     7.175,     7.496,     7.747
234,            6.873,           0.787,     5.696,     6.434,     7.150,     7.448,     7.726
235,            6.828,           0.797,     5.610,     6.358,     7.088,     7.440,     7.727
236,            6.776,           0.794,     5.559,     6.317,     7.012,     7.443,     7.693
237,            6.750,           0.805,     5.565,     6.293,     6.932,     7.437,     7.641
238,            6.696,           0.801,     5.500,     6.237,     6.864,     7.365,     7.590
239,            6.658,           0.798,     5.442,     6.225,     6.845,     7.342,     7.538
240,            6.631,           0.800,     5.450,     6.195,     6.815,     7.332,     7.494
241,            6.577,           0.795,     5.398,     6.096,     6.768,     7.239,     7.451
242,            6.543,           0.801,     5.305,     6.076,     6.757,     7.160,     7.427
243,            6.513,           0.806,     5.327,     6.066,     6.746,     7.129,     7.404
244,            6.469,           0.797,     5.333,     6.058,     6.688,     7.084,     7.328
245,            6.420,           0.787,     5.238,     6.038,     6.648,     7.062,     7.243
246,            6.397,           0.798,     5.237,     6.005,     6.606,     7.069,     7.254
247,            6.370,           0.804,     5.169,     5.945,     6.595,     7.006,     7.241
248,            6.347,           0.804,     5.235,     5.906,     6.542,     7.030,     7.234
249,            6.325,           0.801,     5.149,     5.929,     6.507,     6.992,     7.199
250,            6.307,           0.808,     5.174,     5.889,     6.496,     7.013,     7.181
251,            6.300,           0.817,     5.094,     5.906,     6.474,     7.026,     7.194
252,            6.295,           0.819,     5.123,     5.930,     6.467,     6.987,     7.190
253,            6.284,           0.818,     5.129,     5.892,     6.463,     6.930,     7.178
254,            6.274,           0.825,     5.084,     5.859,     6.419,     6.954,     7.176
255,            6.263,           0.838,     5.020,     5.829,     6.404,     6.995,     7.208
256,            6.270,           0.842,     5.074,     5.795,     6.386,     6.941,     7.256
257,            6.282,           0.851,     5.159,     5.856,     6.354,     6.969,     7.245
258,            6.283,           0.858,     5.165,     5.859,     6.345,     7.008,     7.256
259,            6.286,           0.872,     5.128,     5.817,     6.305,     7.080,     7.276
260,            6.289,           0.892,     5.138,     5.789,     6.331,     7.066,     7.297
261,            6.302,           0.902,     5.153,     5.809,     6.335,     7.089,     7.364
262,            6.331,           0.916,     5.135,     5.855,     6.387,     7.111,     7.411
263,            6.365,           0.925,     5.176,     5.864,     6.412,     7.156,     7.439
264,            6.393,           0.929,     5.212,     5.905,     6.451,     7.172,     7.458
265,            6.426,           0.931,     5.251,     6.007,     6.487,     7.219,     7.465
266,            6.454,           0.935,     5.272,     6.005,     6.506,     7.232,     7.513
267,            6.492,           0.943,     5.268,     6.018,     6.528,     7.256,     7.533
268,            6.540,           0.946,     5.329,     6.085,     6.635,     7.298,     7.629
269,            6.583,           0.955,     5.345,     6.116,     6.720,     7.347,     7.671
270,            6.635,           0.957,     5.417,     6.133,     6.760,     7.391,     7.663
271,            6.691,           0.973,     5.435,     6.190,     6.793,     7.473,     7.735
272,            6.754,           0.983,     5.454,     6.234,     6.876,     7.602,     7.812
273,            6.820,           0.983,     5.527,     6.322,     6.931,     7.694,     7.889
274,            6.955,           0.978,     5.659,     6.446,     7.165,     7.797,     8.049
275,            7.063,           0.992,     5.754,     6.518,     7.221,     7.938,     8.227
276,            7.154,           0.992,     5.759,     6.607,     7.257,     8.008,     8.312
277,            7.245,           0.999,     5.841,     6.692,     7.370,     8.066,     8.393
278,            7.323,           1.012,     5.893,     6.779,     7.532,     8.142,     8.488
279,            7.399,           1.024,     5.934,     6.846,     7.645,     8.143,     8.592
280,            7.498,           1.035,     5.933,     6.943,     7.736,     8.231,     8.658
281,            7.580,           1.032,     6.051,     7.040,     7.826,     8.312,     8.749
282,            7.677,           1.032,     6.206,     7.041,     7.906,     8.373,     8.862
283,            7.768,           1.005,     6.422,     7.092,     8.008,     8.406,     8.946
284,            7.858,           0.998,     6.483,     7.173,     8.036,     8.532,     9.035
285,            7.962,           0.992,     6.613,     7.259,     8.203,     8.692,     9.099
286,            8.072,           0.986,     6.736,     7.455,     8.281,     8.843,     9.165
287,            8.184,           0.959,     6.854,     7.648,     8.309,     8.927,     9.214
288,            8.277,           0.926,     6.987,     7.740,     8.394,     8.955,     9.285
289,            8.365,           0.914,     7.069,     7.886,     8.504,     8.978,     9.339
290,            8.457,           0.903,     7.192,     7.995,     8.628,     9.029,     9.421
291,            8.556,           0.869,     7.336,     8.149,     8.693,     9.089,     9.439
292,            8.642,           0.829,     7.504,     8.315,     8.733,     9.165,     9.450
293,            8.727,           0.804,     7.732,     8.452,     8.738,     9.280,     9.501
294,            8.814,           0.775,     7.986,     8.568,     8.839,     9.404,     9.503
295,            8.904,           0.746,     8.085,     8.565,     8.953,     9.440,     9.582
296,            9.000,           0.730,     8.270,     8.632,     9.096,     9.520,     9.662
297,            9.083,           0.721,     8.366,     8.711,     9.160,     9.572,     9.770
298,            9.144,           0.684,     8.535,     8.869,     9.205,     9.620,     9.781
299,            9.205,           0.654,     8.604,     8.920,     9.280,     9.639,     9.844
300,            9.298,           0.634,     8.670,     9.008,     9.386,     9.767,     9.928
301,            9.386,           0.623,     8.737,     9.066,     9.512,     9.784,    10.023
302,            9.465,           0.604,     8.817,     9.138,     9.615,     9.842,    10.086
303,            9.529,           0.592,     8.858,     9.189,     9.664,     9.899,    10.170
304,            9.611,           0.581,     8.954,     9.207,     9.721,     9.999,    10.201
305,            9.734,           0.577,     9.013,     9.344,     9.837,    10.161,    10.308
306,            9.828,           0.571,     9.120,     9.436,     9.864,    10.267,    10.430
307,            9.880,           0.559,     9.183,     9.510,     9.918,    10.291,    10.511
308,            9.935,           0.548,     9.206,     9.561,     9.994,    10.335,    10.579
309,            9.999,           0.563,     9.256,     9.585,    10.052,    10.379,    10.645
310,           10.054,           0.556,     9.307,     9.715,    10.105,    10.415,    10.760
311,           10.107,           0.554,     9.239,     9.797,    10.120,    10.509,    10.843
312,           10.173,           0.553,     9.364,     9.820,    10.194,    10.588,    10.903
313,           10.247,           0.542,     9.419,     9.918,    10.315,    10.664,    10.963
314,           10.310,           0.538,     9.526,     9.947,    10.347,    10.749,    11.035
315,           10.371,           0.547,     9.532,     9.960,    10.418,    10.805,    11.083
316,           10.443,           0.570,     9.646,     9.970,    10.554,    10.841,    11.151
317,           10.530,           0.598,     9.676,    10.057,    10.592,    10.963,    11.290
318,           10.587,           0.610,     9.663,    10.100,    10.709,    11.010,    11.333
319,           10.656,           0.604,     9.716,    10.140,    10.732,    11.021,    11.427
320,           10.725,           0.603,     9.825,    10.241,    10.824,    11.099,    11.448
321,           10.788,           0.602,     9.916,    10.290,    10.927,    11.195,    11.525
322,           10.841,           0.599,     9.997,    10.359,    10.998,    11.203,    11.590
323,           10.894,           0.590,    10.087,    10.419,    11.037,    11.264,    11.661
324,           10.952,           0.601,    10.151,    10.490,    11.096,    11.331,    11.709
325,           11.025,           0.603,    10.271,    10.554,    11.087,    11.495,    11.781
326,           11.094,           0.600,    10.329,    10.669,    11.103,    11.565,    11.858
327,           11.153,           0.597,    10.447,    10.702,    11.142,    11.635,    11.915
328,           11.233,           0.620,    10.546,    10.792,    11.230,    11.720,    12.002
329,           11.327,           0.631,    10.635,    10.870,    11.329,    11.853,    12.069
330,           11.404,           0.622,    10.740,    10.949,    11.489,    11.903,    12.184
331,           11.472,           0.618,    10.772,    11.033,    11.632,    11.980,    12.210
332,           11.545,           0.629,    10.840,    11.096,    11.733,    12.036,    12.279
333,           11.612,           0.625,    10.856,    11.151,    11.776,    12.095,    12.345
334,           11.685,           0.639,    10.924,    11.196,    11.817,    12.138,    12.501
335,           11.838,           0.642,    11.108,    11.370,    11.955,    12.287,    12.592
336,           11.946,           0.635,    11.218,    11.520,    12.023,    12.407,    12.706
337,           12.017,           0.609,    11.285,    11.607,    12.110,    12.476,    12.715
338,           12.075,           0.602,    11.347,    11.736,    12.217,    12.548,    12.832
339,           12.167,           0.578,    11.458,    11.730,    12.300,    12.633,    12.907
340,           12.227,           0.569,    11.490,    11.781,    12.331,    12.653,    12.972
341,           12.302,           0.569,    11.538,    11.896,    12.377,    12.698,    13.065
342,           12.370,           0.580,    11.529,    11.972,    12.462,    12.798,    13.102
343,           12.448,           0.551,    11.590,    12.118,    12.517,    12.822,    13.149
344,           12.501,           0.540,    11.702,    12.188,    12.526,    12.882,    13.153
345,           12.566,           0.537,    11.753,    12.260,    12.580,    12.948,    13.231
346,           12.631,           0.528,    11.833,    12.350,    12.587,    13.055,    13.329
347,           12.679,           0.511,    11.936,    12.424,    12.648,    13.033,    13.302
348,           12.754,           0.496,    12.107,    12.440,    12.766,    13.106,    13.327
349,           12.821,           0.502,    12.182,    12.506,    12.878,    13.158,    13.377
350,           12.888,           0.510,    12.278,    12.632,    12.969,    13.284,    13.439
351,           12.943,           0.503,    12.346,    12.629,    12.944,    13.337,    13.510
352,           13.005,           0.505,    12.337,    12.687,    13.025,    13.324,    13.615
353,           13.052,           0.502,    12.341,    12.785,    13.083,    13.373,    13.666
354,           13.101,           0.511,    12.440,    12.783,    13.161,    13.448,    13.790
355,           13.153,           0.481,    12.491,    12.878,    13.194,    13.525,    13.705
356,           13.202,           0.473,    12.577,    12.906,    13.220,    13.564,    13.721
357,           13.269,           0.458,    12.635,    12.965,    13.300,    13.623,    13.740
358,           13.327,           0.463,    12.668,    12.987,    13.346,    13.642,    13.815
359,           13.372,           0.466,    12.733,    13.060,    13.465,    13.695,    13.832
360,           13.403,           0.466,    12.788,    13.053,    13.541,    13.731,    13.891
361,           13.432,           0.445,    12.856,    13.067,    13.480,    13.733,    13.926
362,           13.470,           0.441,    12.903,    13.160,    13.561,    13.812,    13.927
363,           13.518,           0.440,    12.969,    13.244,    13.546,    13.880,    14.042
364,           13.564,           0.440,    13.007,    13.273,    13.653,    13.927,    14.087
365,           13.611,           0.442,    13.057,    13.340,    13.702,    13.943,    14.122
366,           13.712,           0.438,    13.097,    13.442,    13.789,    14.069,    14.220
